XXXinorg1,XXXinorg1mass,XXXinorg2,XXXinorg2mass,XXXinorg3,XXXinorg3mass,XXXorg1,XXXorg1mass,XXXorg2,XXXorg2mass,XXXoxlike1,XXXoxlike1mass,temp,time,slowCool,pH
Oxovanadium(2+) sulfate,0.1577,Potassium Dichromate,1.5607,-1,-1.0,1-methylpiperazine,0.1122,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.1563,Potassium Dichromate,1.5156,-1,-1.0,1-methylpiperazine,0.1029,-1,-1.0,-1,-1.0,180,89.0,1,2
Oxovanadium(2+) sulfate,0.1801,Potassium Dichromate,2.006,-1,-1.0,1-methylpiperazine,0.1053,-1,-1.0,-1,-1.0,130,24.0,1,2
ammonium metavanadate,0.13,Potassium Dichromate,0.6456,-1,-1.0,2-methylpyrazine,0.0916,-1,-1.0,sodium oxalate,0.109,180,89.0,1,2
ammonium metavanadate,0.1179,Potassium Dichromate,0.5261,-1,-1.0,2-methylpyrazine,0.1139,-1,-1.0,sodium oxalate,0.1022,130,72.0,1,2
tellurium dioxide,0.4785,sodium metavanadate,0.1579,-1,-1.0,1-methylpiperazine,0.602,-1,-1.0,-1,-1.0,90,72.0,0,9
tellurium dioxide,0.4809,sodium metavanadate,0.1574,-1,-1.0,1-methylpiperazine,0.606,-1,-1.0,-1,-1.0,90,72.0,0,9
tellurium dioxide,0.48,sodium metavanadate,0.1583,-1,-1.0,1-methylpiperazine,0.6208,-1,-1.0,-1,-1.0,90,72.0,0,9
sodium metavanadate,0.1272,Selenium dioxide,0.8915,-1,-1.0,"1,5-diaminopentane",0.1288,-1,-1.0,sodium oxalate,0.1575,90,20.0,1,2
sodium metavanadate,0.135,Selenium dioxide,1.114,-1,-1.0,"1,5-diaminopentane",0.109,-1,-1.0,sodium oxalate,0.146,90,20.0,1,2
sodium metavanadate,0.127,Selenium dioxide,1.121,-1,-1.0,"1,5-diaminopentane",0.112,-1,-1.0,sodium oxalate,0.22,90,16.0,1,1
vanadium(V) oxide,0.0642,-1,-1.0,-1,-1.0,H3PO3,1.0488,1-methylpiperazine,0.924,-1,-1.0,160,96.0,1,5
Oxovanadium(2+) sulfate,0.0405,sodium tellurite,0.0568,-1,-1.0,ethylenediamine,0.1548,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.042,sodium tellurite,0.181,-1,-1.0,ethylenediamine,0.1171,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.0433,sodium tellurite,0.0544,-1,-1.0,ethylenediamine,0.2346,-1,-1.0,-1,-1.0,110,24.0,1,5
Oxovanadium(2+) sulfate,0.2311,sodium tellurite,0.1847,-1,-1.0,ethylenediamine,0.0835,-1,-1.0,-1,-1.0,110,24.0,1,5
Oxovanadium(2+) sulfate,0.8472,-1,-1.0,-1,-1.0,H3PO3,0.361,"1,8-diaminooctane",0.8967,-1,-1.0,110,24.0,1,3
molybdenum trioxide,0.7138,HIO3,0.2175,-1,-1.0,piperazine,0.1098,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.3562,HIO3,0.4362,-1,-1.0,piperazine,0.2154,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.1811,HIO3,0.2165,-1,-1.0,piperazine,0.4332,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.1785,HIO3,0.8662,-1,-1.0,piperazine,0.115,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.431,HIO3,0.2647,-1,-1.0,piperazine,0.2069,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.4332,HIO3,0.5283,-1,-1.0,piperazine,0.1329,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.2148,HIO3,0.5299,-1,-1.0,piperazine,0.2569,-1,-1.0,-1,-1.0,180,48.0,1,5
potassium vanadium trioxide,0.1391,Selenium dioxide,0.6728,-1,-1.0,1-methylpiperazine,0.1062,-1,-1.0,-1,-1.0,150,22.0,1,1
potassium vanadium trioxide,0.1451,Selenium dioxide,0.6692,-1,-1.0,1-methylpiperazine,0.1046,-1,-1.0,-1,-1.0,150,22.0,1,4
potassium vanadium trioxide,0.1434,Selenium dioxide,0.6781,-1,-1.0,1-methylpiperazine,0.1103,-1,-1.0,-1,-1.0,150,22.0,1,7
ammonium metavanadate,0.1175,-1,-1.0,-1,-1.0,ethylenediamine,0.0706,-1,-1.0,-1,-1.0,110,48.0,1,2
ammonium metavanadate,0.117,-1,-1.0,-1,-1.0,ethylenediamine,0.0771,-1,-1.0,-1,-1.0,110,48.0,1,2
vanadium(V) oxide,0.1833,sodium tellurite,0.1117,-1,-1.0,ethylenediamine,0.0555,ethanol,3.9521,-1,-1.0,90,72.0,0,9
vanadium(V) oxide,0.1837,sodium tellurite,0.1154,-1,-1.0,ethylenediamine,0.0539,ethanol,3.9551,-1,-1.0,90,72.0,0,9
vanadium(V) oxide,0.1462,sodium tellurite,0.0879,-1,-1.0,ethylenediamine,0.0461,ethanol,3.0,-1,-1.0,100,113.0,0,8
sodium metavanadate,0.0295,tellurium dioxide,0.4053,-1,-1.0,diethylenetriamine,0.0238,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium metavanadate,0.1687,tellurium dioxide,0.222,-1,-1.0,diethylenetriamine,0.0241,-1,-1.0,-1,-1.0,110,24.0,1,7
