temp,time,slowCool,pH,numberInorg,numberOrg,numberOxlike,numberComponents,orgavgpolMax,orgrefractivityMax,orgmaximalprojectionareaMax,orgmaximalprojectionradiusMax,orgmaximalprojectionsizeMax,orgminimalprojectionareaMax,orgminimalprojectionradiusMax,orgminimalprojectionsizeMax,orgavgpol_pHdependentMax,orgmolpolMax,orgvanderwaalsMax,orgASAMax,orgASA+Max,orgASA-Max,orgASA_HMax,orgASA_PMax,orgpolarsurfaceareaMax,orghbdamsaccMax,orghbdamsdonMax,orgavgpolMin,orgrefractivityMin,orgmaximalprojectionareaMin,orgmaximalprojectionradiusMin,orgmaximalprojectionsizeMin,orgminimalprojectionareaMin,orgminimalprojectionradiusMin,orgminimalprojectionsizeMin,orgavgpol_pHdependentMin,orgmolpolMin,orgvanderwaalsMin,orgASAMin,orgASA+Min,orgASA-Min,orgASA_HMin,orgASA_PMin,orgpolarsurfaceareaMin,orghbdamsaccMin,orghbdamsdonMin,orgavgpolArithAvg,orgrefractivityArithAvg,orgmaximalprojectionareaArithAvg,orgmaximalprojectionradiusArithAvg,orgmaximalprojectionsizeArithAvg,orgminimalprojectionareaArithAvg,orgminimalprojectionradiusArithAvg,orgminimalprojectionsizeArithAvg,orgavgpol_pHdependentArithAvg,orgmolpolArithAvg,orgvanderwaalsArithAvg,orgASAArithAvg,orgASA+ArithAvg,orgASA-ArithAvg,orgASA_HArithAvg,orgASA_PArithAvg,orgpolarsurfaceareaArithAvg,orghbdamsaccArithAvg,orghbdamsdonArithAvg,orgavgpolGeomAvg,orgrefractivityGeomAvg,orgmaximalprojectionareaGeomAvg,orgmaximalprojectionradiusGeomAvg,orgmaximalprojectionsizeGeomAvg,orgminimalprojectionareaGeomAvg,orgminimalprojectionradiusGeomAvg,orgminimalprojectionsizeGeomAvg,orgavgpol_pHdependentGeomAvg,orgmolpolGeomAvg,orgvanderwaalsGeomAvg,orgASAGeomAvg,orgASA+GeomAvg,orgASA-GeomAvg,orgASA_HGeomAvg,orgASA_PGeomAvg,orgpolarsurfaceareaGeomAvg,orghbdamsaccGeomAvg,orghbdamsdonGeomAvg,oxlikeavgpolMax,oxlikerefractivityMax,oxlikemaximalprojectionareaMax,oxlikemaximalprojectionradiusMax,oxlikemaximalprojectionsizeMax,oxlikeminimalprojectionareaMax,oxlikeminimalprojectionradiusMax,oxlikeminimalprojectionsizeMax,oxlikeavgpol_pHdependentMax,oxlikemolpolMax,oxlikevanderwaalsMax,oxlikeASAMax,oxlikeASA+Max,oxlikeASA-Max,oxlikeASA_HMax,oxlikeASA_PMax,oxlikepolarsurfaceareaMax,oxlikehbdamsaccMax,oxlikehbdamsdonMax,oxlikeavgpolMin,oxlikerefractivityMin,oxlikemaximalprojectionareaMin,oxlikemaximalprojectionradiusMin,oxlikemaximalprojectionsizeMin,oxlikeminimalprojectionareaMin,oxlikeminimalprojectionradiusMin,oxlikeminimalprojectionsizeMin,oxlikeavgpol_pHdependentMin,oxlikemolpolMin,oxlikevanderwaalsMin,oxlikeASAMin,oxlikeASA+Min,oxlikeASA-Min,oxlikeASA_HMin,oxlikeASA_PMin,oxlikepolarsurfaceareaMin,oxlikehbdamsaccMin,oxlikehbdamsdonMin,oxlikeavgpolArithAvg,oxlikerefractivityArithAvg,oxlikemaximalprojectionareaArithAvg,oxlikemaximalprojectionradiusArithAvg,oxlikemaximalprojectionsizeArithAvg,oxlikeminimalprojectionareaArithAvg,oxlikeminimalprojectionradiusArithAvg,oxlikeminimalprojectionsizeArithAvg,oxlikeavgpol_pHdependentArithAvg,oxlikemolpolArithAvg,oxlikevanderwaalsArithAvg,oxlikeASAArithAvg,oxlikeASA+ArithAvg,oxlikeASA-ArithAvg,oxlikeASA_HArithAvg,oxlikeASA_PArithAvg,oxlikepolarsurfaceareaArithAvg,oxlikehbdamsaccArithAvg,oxlikehbdamsdonArithAvg,oxlikeavgpolGeomAvg,oxlikerefractivityGeomAvg,oxlikemaximalprojectionareaGeomAvg,oxlikemaximalprojectionradiusGeomAvg,oxlikemaximalprojectionsizeGeomAvg,oxlikeminimalprojectionareaGeomAvg,oxlikeminimalprojectionradiusGeomAvg,oxlikeminimalprojectionsizeGeomAvg,oxlikeavgpol_pHdependentGeomAvg,oxlikemolpolGeomAvg,oxlikevanderwaalsGeomAvg,oxlikeASAGeomAvg,oxlikeASA+GeomAvg,oxlikeASA-GeomAvg,oxlikeASA_HGeomAvg,oxlikeASA_PGeomAvg,oxlikepolarsurfaceareaGeomAvg,oxlikehbdamsaccGeomAvg,oxlikehbdamsdonGeomAvg,inorg-water-moleratio,org-water-moleratio,orgacc-waterdonratio,orgdon-wateraccratio,inorg-org-moleratio,0twater-water-moleratio,IonizationMax,EAMax,PaulingElectronegMax,PearsonElectronegMax,hardnessMax,AtomicRadiusMax,IonizationMin,EAMin,PaulingElectronegMin,PearsonElectronegMin,hardnessMin,AtomicRadiusMin,IonizationMean,EAMean,PaulingElectronegMean,PearsonElectronegMean,hardnessMean,AtomicRadiusMean,IonizationGeom,EAGeom,PaulingElectronegGeom,PearsonElectronegGeom,hardnessGeom,AtomicRadiusGeom,IonizationMaxWeighted,EAMaxWeighted,PaulingElectronegMaxWeighted,PearsonElectronegMaxWeighted,hardnessMaxWeighted,AtomicRadiusMaxWeighted,IonizationMinWeighted,EAMinWeighted,PaulingElectronegMinWeighted,PearsonElectronegMinWeighted,hardnessMinWeighted,AtomicRadiusMinWeighted,IonizationMeanWeighted,EAMeanWeighted,PaulingElectronegMeanWeighted,PearsonElectronegMeanWeighted,hardnessMeanWeighted,AtomicRadiusMeanWeighted,IonizationGeomWeighted,EAGeomWeighted,PaulingElectronegGeomWeighted,PearsonElectronegGeomWeighted,hardnessGeomWeighted,AtomicRadiusGeomWeighted,outcome
110,24.0,1,2,2,1,0,3,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0156,0.0028,0.0,-0.0084,5.5997,0.0184,652.9,64.3,1.66,358.6,300.1,171,650.9,50.6,1.63,350.7,294.3,166,651.9,57.45,1.645,354.65,297.2,168.5,651.8992,57.0402,1.6449,354.628,297.1859,168.4815,6.9275,0.6822,0.0176,3.8049,3.1226,1.7613,0.6297,0.049,0.0016,0.3393,0.2903,0.1654,3.7786,0.3656,0.0096,2.0721,1.7065,0.9634,2.0886,0.1828,0.0053,1.1362,0.9522,0.5398,1
180,89.0,1,2,2,1,0,3,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0177,0.003,0.0,-0.0089,5.9482,0.0207,652.9,64.3,1.66,358.6,300.1,171,650.9,50.6,1.63,350.7,294.3,166,651.9,57.45,1.645,354.65,297.2,168.5,651.8992,57.0402,1.6449,354.628,297.1859,168.4815,6.7273,0.6625,0.0171,3.6949,3.0324,1.7104,0.6241,0.0485,0.0016,0.3363,0.2878,0.164,3.6757,0.3555,0.0093,2.0156,1.6601,0.9372,2.0491,0.1793,0.0052,1.1147,0.9341,0.5296,0
130,24.0,1,2,2,1,0,3,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.54,12.14,238.74,238.74,220.5,18.24,210.85,27.89,21.05,0.0,3.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.024,0.0032,0.0,-0.0096,7.5371,0.0272,652.9,64.3,1.66,358.6,300.1,171,650.9,50.6,1.63,350.7,294.3,166,651.9,57.45,1.645,354.65,297.2,168.5,651.8992,57.0402,1.6449,354.628,297.1859,168.4815,8.9041,0.8769,0.0226,4.8905,4.0136,2.2639,0.7192,0.0559,0.0018,0.3875,0.3316,0.1889,4.8116,0.4664,0.0122,2.639,2.1726,1.2264,2.5305,0.2214,0.0064,1.3766,1.1536,0.654,0
180,89.0,1,2,2,1,1,4,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,0.0059,0.0017,-0.0022,-0.0013,3.3966,0.0076,652.9,64.3,1.66,358.6,300.1,171,650.9,50.6,1.63,350.7,294.3,166,651.9,57.45,1.645,354.65,297.2,168.5,651.8992,57.0402,1.6449,354.628,297.1859,168.4815,2.8656,0.2822,0.0073,1.5739,1.2917,0.7286,0.7234,0.0562,0.0018,0.3897,0.3335,0.19,1.7945,0.1692,0.0045,0.9818,0.8126,0.4593,1.4397,0.126,0.0036,0.7832,0.6563,0.3721,1
130,72.0,1,2,2,1,1,4,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,1.27,0.73,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,0.0056,0.0024,-0.0031,-0.0018,2.3105,0.008,652.9,64.3,1.66,358.6,300.1,171,650.9,50.6,1.63,350.7,294.3,166,651.9,57.45,1.645,354.65,297.2,168.5,651.8992,57.0402,1.6449,354.628,297.1859,168.4815,2.3352,0.23,0.0059,1.2826,1.0526,0.5937,0.656,0.051,0.0016,0.3535,0.3025,0.1723,1.4956,0.1405,0.0038,0.818,0.6775,0.383,1.2377,0.1083,0.0031,0.6733,0.5643,0.3199,0
90,72.0,0,9,2,1,0,3,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0085,0.0119,-0.0123,-0.0235,0.7143,0.0205,869.3,190.2,2.1,529.8,339.6,171,650.9,50.6,1.63,350.7,300.1,123,760.1,120.4,1.865,440.25,319.85,147.0,752.215,98.1026,1.8501,431.0462,319.2397,145.0276,2.6063,0.5702,0.0063,1.5884,1.0182,0.3688,0.8429,0.0655,0.0021,0.4542,0.3886,0.2214,1.7246,0.3179,0.0042,1.0213,0.7034,0.2951,1.4822,0.1933,0.0036,0.8493,0.629,0.2858,1
90,72.0,0,9,2,1,0,3,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0085,0.012,-0.0124,-0.0237,0.7114,0.0206,869.3,190.2,2.1,529.8,339.6,171,650.9,50.6,1.63,350.7,300.1,123,760.1,120.4,1.865,440.25,319.85,147.0,752.215,98.1026,1.8501,431.0462,319.2397,145.0276,2.6193,0.5731,0.0063,1.5964,1.0233,0.3706,0.8403,0.0653,0.0021,0.4527,0.3874,0.2207,1.7298,0.3192,0.0042,1.0245,0.7053,0.2957,1.4835,0.1935,0.0036,0.8501,0.6296,0.286,1
90,72.0,0,9,2,1,0,3,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,11.97,30.74,39.23,4.12,5.92,25.5,3.41,7.94,12.28,12.2,253.52,253.52,224.12,29.41,226.27,27.25,19.85,1.03,1.97,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0085,0.0123,-0.0127,-0.0242,0.6947,0.0208,869.3,190.2,2.1,529.8,339.6,171,650.9,50.6,1.63,350.7,300.1,123,760.1,120.4,1.865,440.25,319.85,147.0,752.215,98.1026,1.8501,431.0462,319.2397,145.0276,2.6144,0.572,0.0063,1.5934,1.0214,0.3699,0.8451,0.0657,0.0021,0.4553,0.3896,0.222,1.7297,0.3189,0.0042,1.0243,0.7055,0.296,1.4864,0.1939,0.0037,0.8518,0.6308,0.2866,1
90,20.0,1,2,2,1,1,4,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,0.0273,0.0038,0.0,-0.0227,7.2014,0.031,941.0,195.0,2.55,568.0,373.0,171,650.9,50.6,1.63,350.7,300.1,103,795.95,122.8,2.09,459.35,336.55,137.0,782.6218,99.3328,2.0387,446.3156,334.5703,132.714,7.5604,1.5667,0.0205,4.5636,2.9968,0.8275,0.679,0.0528,0.0017,0.3659,0.3131,0.1784,4.1197,0.8098,0.0111,2.4647,1.655,0.503,2.2658,0.2876,0.0059,1.2921,0.9686,0.3842,0
90,20.0,1,2,2,1,1,4,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,13.11,31.98,44.43,5.81,5.47,21.98,2.94,11.37,13.8,12.87,301.3,301.3,233.22,68.08,204.98,96.32,55.28,0.0,6.0,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,5.46,36.11,0,0,0,0,0,0,5.84,5.75,220.06,220.06,41.26,178.8,0.0,220.06,77.43,8.3,1.7,0.0335,0.0032,0.0,-0.0192,10.4492,0.0367,941.0,195.0,2.55,568.0,373.0,171,650.9,50.6,1.63,350.7,300.1,103,795.95,122.8,2.09,459.35,336.55,137.0,782.6218,99.3328,2.0387,446.3156,334.5703,132.714,9.4473,1.9577,0.0256,5.7025,3.7448,1.0341,0.7207,0.056,0.0018,0.3883,0.3323,0.1893,5.084,1.0069,0.0137,3.0454,2.0385,0.6117,2.6093,0.3312,0.0068,1.488,1.1155,0.4425,0
